,epi_len,epi_rew,total_step,ave_loss
70,88.0,-19.646224306043834,6248.0,
71,88.0,-12.770094725332328,6336.0,
72,88.0,-8.175830989951457,6424.0,
73,88.0,-19.24917674686345,6512.0,
74,88.0,-19.772140164817714,6600.0,
75,88.0,-13.817730553379207,6688.0,
76,88.0,-5.306391996054635,6776.0,
77,88.0,-1.4207325290815151,6864.0,
78,88.0,-14.918525143369685,6952.0,
79,88.0,-13.94768714233455,7040.0,
80,88.0,-10.004185394287344,7128.0,
81,88.0,-14.661952572385184,7216.0,
82,88.0,-14.931266291140197,7304.0,
83,88.0,-11.118404355751316,7392.0,
84,88.0,-11.465319644753848,7480.0,
85,88.0,-7.704938349400859,7568.0,
86,88.0,-4.513596912372907,7656.0,
87,88.0,-5.954486770299965,7744.0,
88,88.0,-7.903547784325234,7832.0,
89,88.0,-15.77945354290488,7920.0,
90,88.0,-15.477725300557834,8008.0,
91,88.0,-12.621517229594708,8096.0,
92,88.0,-21.68789451930902,8184.0,
93,88.0,-2.6073550899347504,8272.0,
94,88.0,-18.269235507254592,8360.0,
95,88.0,-20.71904766104642,8448.0,
96,88.0,-11.093188759890019,8536.0,
97,88.0,-2.9709276103877285,8624.0,
98,88.0,-16.21088084460748,8712.0,
99,88.0,-6.791214351319976,8800.0,
100,88.0,-6.640475853795994,8888.0,
101,88.0,-4.367768044992321,8976.0,
102,88.0,-14.354897465264733,9064.0,
103,88.0,-23.097280403506574,9152.0,
104,88.0,-20.00874105463793,9240.0,
105,88.0,-16.556126335741773,9328.0,
106,88.0,-9.99780140984831,9416.0,
107,88.0,-8.189971003470312,9504.0,
108,88.0,-9.403687137362464,9592.0,
109,88.0,-12.18557223934073,9680.0,
110,88.0,-14.523532594739818,9768.0,
111,88.0,-7.143289379858104,9856.0,
112,88.0,-7.983317279656031,9944.0,
113,88.0,-14.672565814989385,10032.0,0.19465012475848198
114,88.0,-16.241170101340124,10120.0,0.13831712965938178
115,88.0,-10.745081867601002,10208.0,0.09253346598283811
116,88.0,-13.489194604485924,10296.0,0.047080738554623996
117,88.0,-14.388309188379916,10384.0,0.032112129582938825
118,88.0,-22.91547926408648,10472.0,0.026706941002471882
119,88.0,-10.130706168115667,10560.0,0.023448086174374275
120,88.0,-10.401443497032702,10648.0,0.021306121933527968
121,88.0,-17.63821875658937,10736.0,0.022790152113884687
122,88.0,-8.167421043437555,10824.0,0.021522691981358963
123,88.0,-20.296927731229346,10912.0,0.01760788964615627
124,88.0,-9.778118546441931,11000.0,0.016257690138776194
125,88.0,-8.461486781228444,11088.0,0.01859047191894867
126,88.0,-7.462989583488223,11176.0,0.014410616872324184
